chapter,step,title,image,capture_url,status
chapter-06,06-01,เปิดอาคารหรือสร้างอาคารใหม่,screenshots/original/06-01.jpg,http://localhost:3100/th/master-data/storage-layouts,captured
chapter-06,06-02,กำหนดขนาดอาคาร,screenshots/original/06-02.jpg,http://localhost:3100/th/master-data/storage-layouts/new,captured
chapter-06,06-03,เลือกชั้นและแก้ไขอาคาร,screenshots/original/06-03.jpg,http://localhost:3100/th/master-data/storage-layouts/rs7crk5dp2rhx2b54bthkvb2wx8dzpz7,captured
chapter-06,06-04,แก้ขนาดหรือเพิ่มชั้น,screenshots/original/06-04.jpg,http://localhost:3100/th/master-data/storage-layouts/rs7crk5dp2rhx2b54bthkvb2wx8dzpz7,captured
chapter-06,06-05,ตรวจสอบก่อนเปิดใช้งาน,screenshots/original/06-05.jpg,http://localhost:3100/th/master-data/storage-layouts/rs7crk5dp2rhx2b54bthkvb2wx8dzpz7/review,captured
chapter-07,07-01,วางแผนพื้นที่ชั้น,screenshots/original/07-01.jpg,http://localhost:3100/th/master-data/storage-layouts/rs7crk5dp2rhx2b54bthkvb2wx8dzpz7/floors/1,captured
chapter-07,07-02,กำหนดพื้นที่ห้ามจัดเก็บ,screenshots/original/07-02.jpg,http://localhost:3100/th/master-data/storage-layouts/rs7crk5dp2rhx2b54bthkvb2wx8dzpz7/floors/1,captured
chapter-07,07-03,บันทึกผังก่อนเพิ่มจุดจัดเก็บ,screenshots/original/07-03.jpg,http://localhost:3100/th/master-data/storage-layouts/rs7crk5dp2rhx2b54bthkvb2wx8dzpz7/floors/1,captured
chapter-07,07-04,ตั้งชื่อและขอบเขตจุดจัดเก็บ,screenshots/original/07-04.jpg,http://localhost:3100/th/master-data/storage-layouts/rs7crk5dp2rhx2b54bthkvb2wx8dzpz7/floors/1,captured
chapter-07,07-05,อ่านชื่อ Location และรหัส QR,screenshots/original/07-05.jpg,http://localhost:3100/th/master-data/storage-layouts/rs7crk5dp2rhx2b54bthkvb2wx8dzpz7/floors/1,captured
chapter-07,07-06,แก้ไขจุดจัดเก็บจากหน้าพาเลทโดยตรง,screenshots/original/07-06.jpg,http://localhost:3100/th/master-data/storage-layouts/rs7crk5dp2rhx2b54bthkvb2wx8dzpz7/floors/1?editZone=s97exz1yjvhat53ya0ww0f59r58dy5b6#storage-zone-s97exz1yjvhat53ya0ww0f59r58dy5b6,captured
chapter-08,08-01,เปิดหน่วยและเลือกพื้นที่จัดเก็บ,screenshots/original/08-01.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3,captured
chapter-08,08-02,ค้นหาและเลือก Location,screenshots/original/08-02.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/storage,captured
chapter-08,08-03,กำหนดตำแหน่งย่อยภายใน Location,screenshots/original/08-03.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/storage,captured
chapter-08,08-04,ตำแหน่งสีแดงหมายถึงวางไม่ได้,screenshots/original/08-04.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/storage,captured
chapter-08,08-05,ตรวจปลายทางก่อนจอง,screenshots/original/08-05.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/storage,captured
chapter-08,08-06,นำหน่วยไปยังตำแหน่งที่จอง,screenshots/original/08-06.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3,captured
chapter-08,08-07,สแกนหรือกรอกรหัสปลายทาง,screenshots/original/08-07.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3,captured
chapter-08,08-08,รหัสผิดต้องแก้ก่อนยืนยัน,screenshots/original/08-08.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3,captured
chapter-08,08-09,ยืนยันหลังวางจริง,screenshots/original/08-09.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3,captured
chapter-08,08-10,ผลสำเร็จและทางแก้ไขที่อยู่ใกล้ข้อมูล,screenshots/original/08-10.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3,captured
chapter-09,09-01,เลือกที่ใหม่ก่อนเริ่มย้าย,screenshots/original/09-01.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/move,captured
chapter-09,09-02,ตรวจต้นทางและปลายทาง,screenshots/original/09-02.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/move,captured
chapter-09,09-03,ตรวจพาเลทก่อนเริ่มย้าย,screenshots/original/09-03.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/move,captured
chapter-09,09-04,ตรวจปลายทางหลังเคลื่อนย้าย,screenshots/original/09-04.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/move,captured
chapter-09,09-05,รายงานปัญหาระหว่างย้าย,screenshots/original/09-05.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/move,captured
chapter-09,09-06,ตรวจตำแหน่งใหม่และประวัติ,screenshots/original/09-06.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3,captured
chapter-09,09-07,คืนต้นทางเมื่อย้ายต่อไม่ได้,screenshots/original/09-07.jpg,http://localhost:3100/th/finished-goods/pallets/n1700hqc99t29bjty2wh6r6y518dyrr4/move,captured
chapter-10,10-01,อนุญาตให้พาเลทเป็นฐานรองรับ,screenshots/original/10-01.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/stack,captured
chapter-10,10-02,เลือกพาเลทด้านบนและตรวจระดับสูง,screenshots/original/10-02.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/stack,captured
chapter-10,10-03,ตรวจรอยวางจากด้านบน,screenshots/original/10-03.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3/stack,captured
chapter-10,10-04,ตรวจรหัสทั้งฐานและพาเลทด้านบน,screenshots/original/10-04.jpg,http://localhost:3100/th/finished-goods/pallets/n1700hqc99t29bjty2wh6r6y518dyrr4,captured
chapter-10,10-05,ซ้อนสำเร็จ,screenshots/original/10-05.jpg,http://localhost:3100/th/finished-goods/pallets/n1700hqc99t29bjty2wh6r6y518dyrr4,captured
chapter-10,10-06,ฐานถูกล็อกเมื่อมีพาเลทด้านบน,screenshots/original/10-06.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3,captured
chapter-10,10-07,วางเหลื่อมฐาน: ยกสูงแต่ยังใช้ไม่ได้,screenshots/original/10-07.jpg,http://localhost:3100/th/finished-goods/pallets/n1700hqc99t29bjty2wh6r6y518dyrr4/move,captured
chapter-10,10-08,ย้ายพาเลทด้านบนลงพื้น,screenshots/original/10-08.jpg,http://localhost:3100/th/finished-goods/pallets/n1700hqc99t29bjty2wh6r6y518dyrr4/move,captured
chapter-10,10-09,ฐานปลดล็อกเมื่อย้ายด้านบนออกสำเร็จ,screenshots/original/10-09.jpg,http://localhost:3100/th/finished-goods/pallets/n178kx5n3hgj0m6v538tcrkyyh8dz4g3,captured
chapter-11,11-01,เปิดลิงก์เดิมหลังมีการแบ่งบรรจุใหม่,screenshots/original/11-01.jpg,http://localhost:3100/th/finished-goods/products/n97cytm28pdx9xzqnrazzwc2xh8dz9cq/packing,captured
chapter-11,11-02,ชุดที่ใช้งานอยู่ถูกป้องกันการแบ่งใหม่,screenshots/original/11-02.jpg,http://localhost:3100/th/finished-goods/batches/p97830fsart3d1sm1dwzwsnkq18dzy1n,captured
chapter-12,12-01,ค้นหาและเปิดรายการบนมือถือ,screenshots/original/12-01.jpg,http://localhost:3100/th/finished-goods?fg=%7B%22tab%22%3A%22pallets%22%2C%22search%22%3A%22MANUAL%22%7D,captured
chapter-12,12-02,ตัวกรองบนจอเล็ก,screenshots/original/12-02.jpg,http://localhost:3100/th/finished-goods?fg=%7B%22tab%22%3A%22pallets%22%2C%22search%22%3A%22MANUAL%22%7D,captured
chapter-12,12-03,ดูตำแหน่งและแก้ไขบนมือถือ,screenshots/original/12-03.jpg,http://localhost:3100/th/finished-goods/pallets/n1700hqc99t29bjty2wh6r6y518dyrr4,captured
